"CategoryId"	"ParentCategoyrId"	"Position"
"plus-clearance"	"plus"	"11"
"plusclearance-tops"	"plus-clearance"	"0"
"plusclearance-bottoms"	"plus-clearance"	"1"
"plusclearance-dresses"	"plus-clearance"	"2"
"plusclearance-accessories"	"plus-clearance"	"3"
"plus-trends"	"plus"	"12"
"plus-trends-dress-collection"	"plus-trends"	"0"
"plus-trends-boho-summer"	"plus-trends"	"1"
"plus-trends-boho-global-prints"	"plus-trends"	"2"
"plus-trends-crochet"	"plus-trends"	"3"
"plus-trends-boho-nuetrals"	"plus-trends"	"4"
"plus-trends-western-boho"	"plus-trends"	"5"
"plus-trends-festival"	"plus-trends"	"6"
"plus-trends-cotton-candy"	"plus-trends"	"7"
"plus-trends-urban-boho"	"plus-trends"	"8"
"plus-trends-girls-love-flowers"	"plus-trends"	"9"
"plus-trends-boho-spirit"	"plus-trends"	"10"
"plus-trends-skater-girl"	"plus-trends"	"11"
"plus-stores-page"	"plus"	"13"
"sale"	""	"8"
"sale-promo"	"sale"	"0"
"sale-jeans"	"sale-promo"	"0"
"sale-skirts"	"sale-promo"	"1"
"sale-soft-pants"	"sale-promo"	"2"
"sale-2-for-20-maxis"	"sale-promo"	"3"
"sale-5for20"	"sale-promo"	"4"
"sale-bogo-bras"	"sale-promo"	"5"
"sale-panties"	"sale-promo"	"6"
"sale-15-styles"	"sale-promo"	"7"
"sale-40percent"	"sale-promo"	"8"
"sale-2-for-12-Tops"	"sale-promo"	"9"
"sale-skirts-and-shorts"	"sale-promo"	"10"
"sale-overalls"	"sale-promo"	"11"
"sale-bogo-swim-sandals-shoes-belts-scarves"	"sale-promo"	"12"
"sale-last-chance"	"sale-promo"	"13"
"sale-10"	"sale-promo"	"14"
"sale-15"	"sale-promo"	"15"
"sale-5"	"sale-promo"	"16"
"sale-2-for-12-sunglasses"	"sale-promo"	"17"
"sale-bogo-penny-tops"	"sale-promo"	"18"
"sale-jewelry"	"sale-promo"	"19"
"sale-2-for-15-tops"	"sale-promo"	"20"
"sale-bogo-gifts"	"sale-promo"	"21"
"sale-30-percent-sleepwear"	"sale-promo"	"22"
"sale-30percent"	"sale-promo"	"23"
"sale-5-for-15"	"sale-promo"	"24"
"sale-2-for-15-tees"	"sale-promo"	"25"
"sale-8"	"sale-promo"	"26"
"sale-12"	"sale-promo"	"27"
"sale-new-15"	"sale-promo"	"28"
"sale-50-percent-tops"	"sale-promo"	"29"
"sale-50-percent-bottoms"	"sale-promo"	"30"
"sale-50-percent-dresses"	"sale-promo"	"31"
"sale-50-percent-jackets"	"sale-promo"	"32"
"sale-50percent"	"sale-promo"	"33"
