"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"First Summer Session 2009","4095SS1","","","CSCI","CSCI-C","211","1703","INTRO TO COMPUTER SCIENCE","Menzel,Suzanne","15","18","3.000","3.086","18.8","3","3","1","0","2","1","2","1","0","0","2","0","0","1","2","0","0","0","0","0","0","0","0","07-17-2009",
"Spring 2009","4092","","","CSCI","CSCI-C","211","6209","INTRO TO COMPUTER SCIENCE","Menzel,Suzanne","57","77","3.000","2.859","11.0","6","16","3","5","12","0","0","6","3","1","1","0","4","12","4","4","0","0","0","0","0","0","0","06-12-2009",
"Fall 2008","4088","","","CSCI","CSCI-C","211","14593","INTRO TO COMPUTER SCIENCE","Menzel,Suzanne","41","62","3.061","2.875","7.1","4","9","5","5","6","1","0","6","2","0","1","2","0","14","6","1","0","0","0","0","0","0","0","01-23-2009",
"Fall 2008","4088","","","CSCI","CSCI-C","211","8263","INTRO TO COMPUTER SCIENCE","Menzel,Suzanne","47","83","2.645","2.740","6.8","3","4","6","6","7","3","2","4","6","0","1","2","3","26","10","0","0","0","0","0","0","0","0","01-23-2009",
"Fall 2008","4088","","","CSCI","CSCI-H","211","8286","INTRO TO CMPTR SCIENCE-HONORS","Dybvig,R Kent","15","18","3.587","3.434","22.2","2","5","3","1","2","2","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","01-23-2009",
"First Summer Session 2008","4085SS1","","","CSCI","CSCI-C","211","1733","INTRO TO COMPUTER SCIENCE","Menzel,Suzanne","16","17","3.313","2.844","11.8","3","5","0","2","2","1","1","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","07-11-2008",
"Spring 2008","4082","","","CSCI","CSCI-C","211","6386","INTRO TO COMPUTER SCIENCE","Menzel,Suzanne","46","67","2.622","2.954","6.6","4","9","3","2","2","2","11","2","6","0","0","0","5","14","6","1","0","0","0","0","0","0","0","06-09-2008",
"Fall 2007","4078","","","CSCI","CSCI-C","211","15473","INTRO TO COMPUTER SCIENCE","Menzel,Suzanne","32","48","2.684","2.887","6.8","2","5","1","7","4","4","2","1","1","0","0","0","5","12","4","0","0","0","0","0","0","0","0","01-18-2008",
"Fall 2007","4078","","","CSCI","CSCI-C","211","22492","INTRO TO COMPUTER SCIENCE","Menzel,Suzanne","33","44","2.682","2.722","10.0","2","5","4","4","4","2","2","1","5","0","0","0","4","7","4","0","0","0","0","0","0","0","0","01-18-2008",
"Fall 2007","4078","","","CSCI","CSCI-H","211","15496","INTRO TO CMPTR SCIENCE-HONORS","Dybvig,R Kent","14","17","3.514","3.177","6.3","1","3","5","1","2","2","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","01-18-2008",
"First Summer Session 2007","4075SS1","","","CSCI","CSCI-C","211","2015","INTRO TO COMPUTER SCIENCE","Menzel,Suzanne","7","10","3.243","2.634","12.5","0","1","3","0","1","0","2","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","07-13-2007",
"Spring 2007","4072","","","CSCI","CSCI-C","211","9028","INTRO TO COMPUTER SCIENCE","Menzel,Suzanne","31","45","2.710","2.840","4.8","3","3","5","5","1","1","2","5","2","1","0","0","3","10","3","1","0","0","0","0","0","0","0","06-08-2007",
"Fall 2006","4068","","","CSCI","CSCI-C","211","15523","INTRO TO COMPUTER SCIENCE","Menzel,Suzanne","44","62","2.507","2.770","8.6","2","9","3","6","2","3","5","1","3","1","0","2","7","13","4","1","0","0","0","0","0","0","0","01-19-2007",
"Fall 2006","4068","","","CSCI","CSCI-C","211","23807","INTRO TO COMPUTER SCIENCE","Menzel,Suzanne","24","41","2.750","2.633","4.9","3","4","3","5","2","1","0","0","1","0","0","0","5","17","0","0","0","0","0","0","0","0","0","01-19-2007",
"Fall 2006","4068","","","CSCI","CSCI-H","211","15546","INTRO TO CMPTR SCIENCE-HONORS","Dybvig,R Kent","19","22","3.526","3.280","35.0","1","3","7","6","1","0","1","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","01-19-2007",
"First Summer Session 2006","4065SS1","","","CSCI","CSCI-C","211","7073","INTRO TO COMPUTER SCIENCE","Menzel,Suzanne","17","21","2.818","2.841","5.3","1","4","0","3","3","1","1","2","0","0","0","0","2","1","2","1","0","0","0","0","0","0","0","07-14-2006",
"Spring 2006","4062","","","CSCI","CSCI-C","211","14824","INTRO TO COMPUTER SCIENCE","Menzel,Suzanne","35","55","2.626","2.747","8.2","6","4","5","0","3","3","3","0","4","2","0","0","5","11","6","3","0","0","0","0","0","0","0","06-09-2006",
"Fall 2005","4058","","","CSCI","CSCI-C","211","15205","INTRO TO COMPUTER SCIENCE","Menzel,Suzanne","29","41","2.707","2.670","8.6","2","6","4","3","2","3","0","1","2","1","1","0","4","6","6","0","0","0","0","0","0","0","0","01-20-2006",
"Fall 2005","4058","","","CSCI","CSCI-C","211","27914","INTRO TO COMPUTER SCIENCE","Sabry,Amr","29","46","2.893","2.858","2.7","2","2","5","4","6","5","0","1","1","0","1","0","2","7","9","0","0","1","0","0","0","0","0","01-20-2006",
"Fall 2005","4058","","","CSCI","CSCI-H","211","15231","INTRO TO CMPTR SCIENCE-HONORS","Haynes,Christopher","9","12","3.044","2.939","9.1","2","3","0","0","1","1","0","0","1","0","0","0","1","2","1","0","0","0","0","0","0","0","0","01-20-2006",
"First Summer Session 2005","4055SS1","","","CSCI","CSCI-C","211","1987","INTRO TO COMPUTER SCIENCE","Byrd,William Edward","6","14","2.833","2.563","0.0","1","1","0","1","1","1","0","0","0","0","0","0","1","5","3","0","0","0","0","0","0","0","0","07-18-2005",
"Spring 2005","4052","","","CSCI","CSCI-C","211","3529","INTRO TO COMPUTER SCIENCE","Menzel,Suzanne","37","61","2.611","2.678","40.0","4","5","6","3","2","4","1","2","2","1","0","1","6","18","6","0","0","0","0","0","0","0","0","06-14-2005",
"Fall 2004","4048","","","CSCI","CSCI-C","211","3777","INTRO TO COMPUTER SCIENCE","Menzel,Suzanne","29","44","2.886","2.843","17.1","3","3","2","9","2","2","3","1","0","1","1","0","2","12","3","0","0","0","0","0","0","0","0","01-21-2005",
"Fall 2004","4048","","","CSCI","CSCI-C","211","3779","INTRO TO COMPUTER SCIENCE","Sabry,Amr","31","56","2.365","2.605","16.7","0","8","2","4","2","2","1","0","2","2","1","0","7","16","8","0","0","0","0","0","0","1","0","01-21-2005",
"Fall 2004","4048","","","CSCI","CSCI-H","211","3808","INTRO TO CMPTR SCIENCE-HONORS","Dybvig,R Kent","18","22","3.417","3.464","25.0","4","4","5","1","0","1","1","0","1","0","1","0","0","2","2","0","0","0","0","0","0","0","0","01-21-2005",
